Entity,Code,Day,containment_index(종합수치),school_closures(학교 폐쇄),workplace_closures(회사 폐쇄),cancel_public_events(공개행사 취소),restriction_gatherings(모임 제한),close_public_transport(대중교통폐쇄),stay_home_requirements(재택 요구),public_information_campaigns(홍보캠페인),restrictions_internal_movements(국내이동제한),international_travel_controls(국제여행제한),testing_policy(코로나 검사 정책),contact_tracing(접촉자 추적),facial_coverings(마스크 착용),vaccination_policy(백신 접종),"retail_and_recreation(식당,카페,쇼핑센터,테마파크,박물관,도서관,영화관 등)",grocery_and_pharmacy(식료품점과 약국),residential(Time spent at home; 집에서 보내기),transit_stations(교통수단),parks(공원),workplaces(Workplace visitors;직장 출근)
South Korea,KOR,20211204,59.34,0,2,1,4,0,0,2,0,3,3,2,3,5,8,19.143,2.143,-1.714,18.429,2.286
South Korea,KOR,20211205,59.34,0,2,1,4,0,0,2,0,3,3,2,3,5,7.429,21.429,2.429,-2.714,16.857,2.286
South Korea,KOR,20211206,60.23,0,2,1,4,0,0,2,0,3,3,2,3,5,7,20.714,2.571,-3.143,16.143,2.143
South Korea,KOR,20211207,60.23,0,2,1,4,0,0,2,0,3,3,2,3,5,8.143,22.286,2.143,-2,23.286,2.286
South Korea,KOR,20211208,60.22,0,2,1,4,0,0,2,0,3,3,2,3,5,8.286,22.143,2.143,-1.714,27.714,2.286
South Korea,KOR,20211209,60.22,0,2,1,4,0,0,2,0,3,3,2,3,5,8.143,22.286,2.143,-1.714,29.571,2.429
South Korea,KOR,20211210,60.21,0,2,1,4,0,0,2,0,3,3,2,3,5,7.857,22.143,2.286,-2,30.143,2.429
South Korea,KOR,20211211,60.21,0,2,1,4,0,0,2,0,3,3,2,3,5,7.714,22.286,2.286,-2.286,31,2.571
South Korea,KOR,20211212,60.21,0,2,1,4,0,0,2,0,3,3,2,3,5,7.143,19.429,2.429,-3,28.857,2.429
South Korea,KOR,20211213,60.21,0,2,1,4,0,0,2,0,3,3,2,3,5,6.571,19.286,2.571,-3.714,25.714,2.286
South Korea,KOR,20211214,60.2,0,2,1,4,0,0,2,0,3,3,2,3,5,6,18.857,2.857,-4.429,23.429,2.143
South Korea,KOR,20211215,60.2,0,2,1,4,0,0,2,0,3,3,2,3,5,6,19.286,3,-4.714,21.429,2
South Korea,KOR,20211216,60.2,0,2,1,4,0,0,2,0,3,3,2,3,5,5.857,19,3.143,-5,19.429,1.714
South Korea,KOR,20211217,60.19,0,2,1,4,0,0,2,0,3,3,2,3,5,5.429,18.143,3.429,-5.714,15.857,1.286
South Korea,KOR,20211218,60.19,0,2,1,4,0,0,2,0,3,3,2,3,5,3.857,17.143,4.143,-6.857,11.286,0.714
South Korea,KOR,20211219,60.19,0,2,1,4,0,0,2,0,3,3,2,3,5,3,19.286,4.571,-7.571,9.286,0.429
South Korea,KOR,20211220,61.37,1,2,1,4,0,0,2,0,3,3,2,3,5,3,19.857,4.714,-7.286,10.857,0.286
South Korea,KOR,20211221,61.37,1,2,1,4,0,0,2,0,3,3,2,3,5,3.143,20.571,4.714,-7,12.143,0.143
